Birth Rate,Business Tax Rate,CO2 Emissions,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
2.2%,,53054,Turkmenistan,,,22675,"$22,148,070,175",2.1%,$95,,5.1%,0.0,,69,61,0.6,1,29.2%,66.6%,4.1%,5041995,48.4%,Asia,,,12/1/2010
2.3%,95.6%,104443,Uzbekistan,15,,43747,"$39,332,770,929",5.4%,$75,205,4.0%,0.2,,71,65,0.8,1,29.8%,65.8%,4.4%,28562400,36.2%,Asia,"$121,000,000",,12/1/2010
1.6%,32.9%,150230,Vietnam,38,,58912,"$115,931,749,905",6.9%,$83,941,2.1%,0.3,13.1%,80,71,1.3,1,23.5%,70.0%,6.5%,86932500,30.4%,Asia,"$4,450,000,000","$1,470,000,000",12/1/2010
1.3%,33.1%,4283,Albania,6,,2059,"$11,926,953,259",5.5%,$207,360,1.5%,0.5,12.8%,80,74,0.9,1,22.8%,67.1%,10.1%,2856673,52.2%,Europe,"$1,780,000,000","$1,454,000,000",12/1/2010
1.0%,,517,Andorra,,,,,7.2%,"$2,958",,0.2%,0.8,,,,0.8,1,,,,77907,87.8%,Europe,,,12/1/2010
0.9%,53.2%,66897,Austria,25,,34228,"$377,679,836,477",11.6%,"$5,272",170,0.4%,0.8,,83,78,1.5,1,14.8%,67.4%,17.8%,8389771,65.9%,Europe,"$20,980,000,000","$12,213,000,000",12/1/2010
1.1%,80.5%,62222,Belarus,10,,27686,"$55,220,932,614",5.6%,$323,798,0.5%,0.3,9.2%,77,65,1.1,1,14.8%,71.2%,13.9%,9490000,74.6%,Europe,"$665,000,000","$748,000,000",12/1/2010
1.2%,56.7%,108947,Belgium,4,,60892,"$471,218,301,721",10.5%,"$4,570",156,0.4%,0.8,,83,78,1.1,1,16.8%,66.1%,17.2%,10920272,97.6%,Europe,"$11,624,000,000","$20,876,000,000",12/1/2010
0.9%,22.2%,31125,Bosnia and Herzegovina,64,,6451,"$16,775,919,279",9.8%,$427,422,0.7%,0.5,7.9%,78,73,0.8,1,17.4%,67.5%,15.1%,3845929,39.2%,Europe,"$662,000,000","$247,000,000",12/1/2010
1.0%,28.0%,44679,Bulgaria,18,,17897,"$47,726,575,741",7.6%,$480,616,1.1%,0.5,11.1%,77,70,1.4,1,13.3%,68.3%,18.3%,7395599,72.3%,Europe,"$4,035,000,000","$1,382,000,000",12/1/2010
1.0%,22.1%,20884,Croatia,9,,8564,"$58,873,994,412",7.8%,"$1,051",196,0.5%,0.6,10.4%,80,74,1.1,1,15.3%,67.2%,17.5%,4417781,57.5%,Europe,"$8,255,000,000","$859,000,000",12/1/2010
1.2%,22.3%,7708,Cyprus,8,,2443,"$23,132,450,331",7.4%,"$2,012",149,0.3%,0.5,,81,77,0.9,1,17.8%,70.7%,11.6%,1103685,67.6%,Europe,"$2,371,000,000","$1,457,000,000",12/1/2010
1.1%,48.0%,111752,Czech Republic,20,,44043,"$198,493,579,255",7.4%,"$1,404",557,0.3%,0.7,5.9%,81,74,1.2,1,14.2%,70.4%,15.4%,10474410,73.3%,Europe,"$8,017,000,000","$4,166,000,000",12/1/2010
1.1%,28.1%,46303,Denmark,6,,19307,"$312,949,418,349",11.1%,"$6,266",135,0.3%,0.9,,81,77,1.2,1,18.0%,65.4%,16.7%,5547683,86.8%,Europe,"$5,704,000,000","$9,082,000,000",12/1/2010
1.2%,48.6%,18339,Estonia,7,,5568,"$19,033,475,893",6.3%,$894,81,0.4%,0.7,7.8%,81,71,1.3,1,15.4%,67.1%,17.5%,1331475,68.1%,Europe,"$1,412,000,000","$723,000,000",12/1/2010
,,711,Faeroe Islands,,,,,,,,,0.8,,84,79,1.2,1,,,,49581,40.9%,Europe,,,12/1/2010
1.1%,40.8%,61844,Finland,14,,36429,"$236,706,436,523",9.0%,"$3,978",243,0.3%,0.9,,83,77,1.6,1,16.5%,66.4%,17.1%,5363352,83.6%,Europe,"$4,510,000,000","$5,267,000,000",12/1/2010
1.3%,64.8%,361273,France,7,,261157,"$2,565,039,332,951",11.7%,"$4,634",132,0.4%,0.8,,85,78,0.9,1,18.4%,64.8%,16.8%,65023142,78.3%,Europe,"$56,139,000,000","$46,157,000,000",12/1/2010
0.8%,47.0%,745384,Germany,15,,329769,"$3,304,439,018,398",11.5%,"$4,668",215,0.4%,0.8,,83,78,1.1,1,13.4%,65.8%,20.8%,81776930,74.3%,Europe,"$49,108,000,000","$91,166,000,000",12/1/2010
1.0%,46.7%,86717,Greece,19,,27615,"$294,222,876,631",9.4%,"$2,442",224,0.4%,0.4,,83,78,1.1,1,14.5%,66.5%,19.0%,11153454,76.3%,Europe,"$12,579,000,000","$2,874,000,000",12/1/2010
0.9%,54.6%,50583,Hungary,4,,25667,"$127,503,279,792",8.0%,"$1,026",277,0.6%,0.7,7.6%,78,71,1.2,1,14.6%,68.6%,16.7%,10000023,68.9%,Europe,"$6,338,000,000","$2,879,000,000",12/1/2010
1.5%,26.1%,1962,Iceland,5,,5369,"$12,564,705,489",9.4%,"$3,730",140,0.2%,0.9,10.3%,84,80,1.1,1,20.9%,66.9%,12.1%,318041,93.6%,Europe,"$562,000,000","$599,000,000",12/1/2010
1.7%,25.3%,40000,Ireland,13,,14219,"$209,387,190,854",9.3%,"$4,320",76,0.4%,0.7,,83,79,1.1,1,21.3%,67.3%,11.3%,4560155,61.8%,Europe,"$8,187,000,000","$7,178,000,000",12/1/2010
,,,Isle of Man,,,,,,,,,,,,,,1,,,,83992,52.0%,Europe,,,12/1/2010
0.9%,67.7%,406307,Italy,6,,170239,"$2,055,355,252,805",9.4%,"$3,205",285,0.3%,0.5,4.0%,85,80,1.5,1,14.0%,65.7%,20.3%,59277417,68.3%,Europe,"$40,058,000,000","$33,053,000,000",12/1/2010
1.9%,16.5%,,Kosovo,58,,2496,"$5,740,438,192",,,163,,,14.3%,72,68,,1,27.5%,65.9%,6.7%,1775680,,Europe,,,12/1/2010
0.9%,37.6%,7616,Latvia,16,,4644,"$24,009,680,460",6.5%,$742,293,0.8%,0.7,9.6%,78,69,1.1,1,14.2%,67.5%,18.4%,2097555,67.7%,Europe,"$963,000,000","$771,000,000",12/1/2010
0.9%,,,Liechtenstein,,,,,,,,,0.8,,84,80,1.0,1,,,,36120,14.5%,Europe,,,12/1/2010
1.2%,45.1%,13561,Lithuania,22,,7052,"$36,709,511,568",7.0%,$782,175,0.6%,0.6,6.0%,79,68,1.6,1,15.2%,69.3%,15.5%,3097282,66.8%,Europe,"$1,034,000,000","$936,000,000",12/1/2010
1.2%,20.0%,10829,Luxembourg,19,,4220,"$52,053,324,635",7.2%,"$7,592",59,0.2%,0.9,,84,78,1.4,1,17.6%,68.4%,14.0%,506953,88.5%,Europe,"$4,115,000,000","$3,549,000,000",12/1/2010
1.1%,8.3%,10873,"Macedonia, FYR",3,,2883,"$9,338,674,078",7.0%,$309,119,0.9%,0.5,9.5%,77,73,1.0,1,17.4%,70.9%,11.7%,2102216,57.0%,Europe,"$209,000,000","$141,000,000",12/1/2010
0.9%,,2589,Malta,,,848,"$8,163,841,060",8.5%,"$1,707",,0.6%,0.6,4.6%,84,79,1.1,1,15.6%,69.9%,14.5%,414508,94.7%,Europe,"$1,238,000,000","$366,000,000",12/1/2010
1.2%,30.4%,4855,Moldova,10,,3426,"$5,811,604,052",11.7%,$190,228,1.5%,0.3,16.4%,72,65,0.7,1,16.7%,72.2%,11.2%,3562045,44.9%,Europe,"$232,000,000","$324,000,000",12/1/2010
,,,Monaco,,,,"$5,350,993,377",4.4%,"$6,431",,0.3%,0.8,,,,0.6,1,,,,36845,100.0%,Europe,,,12/1/2010
1.2%,25.4%,2582,Montenegro,10,,1174,"$4,114,881,347",7.2%,$476,372,0.6%,0.4,9.5%,77,72,1.9,1,19.5%,68.1%,12.5%,620078,63.1%,Europe,"$765,000,000","$72,000,000",12/1/2010
1.1%,39.4%,182078,Netherlands,8,,83426,"$777,157,702,271",12.1%,"$5,676",134,0.4%,0.9,1.8%,83,79,1.2,1,17.5%,67.1%,15.4%,16615394,87.1%,Europe,"$18,690,000,000","$19,772,000,000",12/1/2010
1.3%,40.7%,57187,Norway,7,,32338,"$420,945,705,225",10.0%,"$8,694",87,0.3%,0.9,,83,79,1.1,1,18.8%,66.2%,15.0%,4889252,79.1%,Europe,"$5,299,000,000","$14,658,000,000",12/1/2010
1.1%,40.1%,317254,Poland,32,,101539,"$469,799,124,465",7.0%,$860,325,0.5%,0.6,,81,72,1.2,1,15.0%,71.5%,13.5%,38183683,60.9%,Europe,"$9,986,000,000","$9,100,000,000",12/1/2010
1.0%,42.6%,52361,Portugal,5,,23541,"$228,939,349,299",10.8%,"$2,324",298,0.3%,0.5,,82,76,1.2,1,15.1%,66.8%,18.0%,10573100,60.6%,Europe,"$12,969,000,000","$4,691,000,000",12/1/2010
1.1%,43.5%,78745,Romania,9,,35031,"$164,792,252,746",5.9%,$457,222,1.2%,0.4,14.1%,77,70,1.1,1,15.0%,70.1%,14.8%,20246871,53.8%,Europe,"$1,631,000,000","$1,896,000,000",12/1/2010
1.3%,46.5%,1740776,Russian Federation,29,,702292,"$1,524,916,112,079",6.3%,$669,320,1.0%,0.4,10.8%,75,63,1.7,1,14.9%,72.0%,13.1%,142385523,73.7%,Europe,"$13,239,000,000","$30,169,000,000",12/1/2010
1.1%,,,San Marino,,,,,5.3%,"$3,319",,0.3%,,5.4%,86,80,1.0,1,,,,30861,94.1%,Europe,,,12/1/2010
0.9%,34.0%,45962,Serbia,13,,15536,"$36,990,001,284",10.7%,$546,279,0.7%,0.4,17.3%,77,71,1.3,1,16.9%,69.4%,13.7%,7291436,55.2%,Europe,"$951,000,000","$1,106,000,000",12/1/2010
1.1%,47.4%,36094,Slovak Republic,18,,17828,"$87,077,443,709",9.0%,"$1,446",257,0.7%,0.8,,79,72,1.1,1,15.1%,72.6%,12.3%,5391428,54.7%,Europe,"$2,335,000,000","$2,146,000,000",12/1/2010
1.1%,34.6%,15328,Slovenia,6,,7230,"$46,999,407,184",8.9%,"$2,044",260,0.3%,0.7,,83,76,1.0,1,14.0%,69.3%,16.7%,2048583,50.0%,Europe,"$2,721,000,000","$1,377,000,000",12/1/2010
1.0%,56.8%,269675,Spain,47,,127749,"$1,384,844,699,967",9.6%,"$2,902",197,0.4%,0.7,,85,79,1.1,1,14.9%,68.0%,17.1%,46576897,78.4%,Europe,"$59,042,000,000","$22,733,000,000",12/1/2010
1.2%,52.0%,52515,Sweden,16,,51315,"$463,062,061,649",9.5%,"$4,694",122,0.3%,0.9,,84,80,1.2,1,16.5%,65.3%,18.2%,9378126,85.1%,Europe,"$10,991,000,000","$14,912,000,000",12/1/2010
1.0%,28.8%,38757,Switzerland,18,,26199,"$549,104,835,881",10.9%,"$7,697",63,0.4%,0.8,2.7%,85,80,1.2,1,15.1%,68.0%,16.9%,7824909,73.7%,Europe,"$17,614,000,000","$13,528,000,000",12/1/2010
1.8%,43.3%,298002,Turkey,6,,105133,"$731,168,051,934",6.8%,$680,226,2.0%,0.4,,78,71,0.9,1,26.7%,66.2%,7.1%,72137546,70.7%,Europe,"$26,318,000,000","$5,817,000,000",12/1/2010
1.1%,55.5%,304805,Ukraine,27,,132308,"$136,419,300,368",7.8%,$231,657,1.0%,0.2,15.9%,76,65,1.2,1,13.9%,70.3%,15.8%,45870700,68.7%,Europe,"$4,696,000,000","$4,134,000,000",12/1/2010
1.3%,36.1%,493505,United Kingdom,12,,201829,"$2,295,522,887,422",9.6%,"$3,489",110,0.4%,0.9,0.5%,82,79,1.2,1,17.6%,65.9%,16.6%,62766365,81.3%,Europe,"$40,746,000,000","$61,368,000,000",12/1/2010
1.6%,13.5%,24202,Bahrain,9,,9472,"$25,713,547,869",4.3%,$747,36,0.7%,0.6,7.2%,77,76,1.3,1,19.9%,78.1%,2.0%,1251513,88.5%,Middle East,"$2,163,000,000","$684,000,000",12/1/2010
1.9%,44.1%,571612,"Iran, Islamic Rep.",11,,210678,"$422,567,967,405",7.3%,$416,344,1.6%,0.1,12.0%,75,71,0.7,1,23.6%,71.2%,5.2%,74462314,70.6%,Middle East,"$2,631,000,000","$10,570,000,000",12/1/2010
3.2%,27.8%,114667,Iraq,32,,37845,"$142,814,704,615",3.1%,$141,312,3.0%,0.0,13.3%,73,65,0.8,1,41.2%,55.4%,3.4%,30962380,69.0%,Middle East,"$1,736,000,000","$1,675,000,000",12/1/2010
2.2%,31.1%,70656,Israel,20,,23195,"$231,674,400,562",7.6%,"$2,165",235,0.4%,0.7,5.0%,84,80,1.2,1,27.2%,62.3%,10.4%,7623600,91.8%,Middle East,"$5,824,000,000","$4,725,000,000",12/1/2010
2.9%,31.2%,20821,Jordan,12,,7105,"$26,425,379,367",8.5%,$361,136,1.8%,0.3,9.0%,75,72,1.0,1,35.1%,61.5%,3.4%,6046000,82.5%,Middle East,"$4,390,000,000","$1,736,000,000",12/1/2010
2.1%,10.7%,93696,Kuwait,35,,32586,"$119,934,674,735",2.8%,"$1,116",98,0.9%,0.6,4.9%,75,73,1.3,1,25.2%,72.6%,2.1%,2991580,98.3%,Middle East,"$574,000,000","$7,106,000,000",12/1/2010
1.3%,30.2%,20403,Lebanon,9,,6382,"$38,009,950,249",7.2%,$620,180,0.9%,0.4,8.3%,81,77,0.7,1,23.7%,67.8%,8.4%,4341092,87.2%,Middle East,"$8,026,000,000","$4,868,000,000",12/1/2010
2.2%,21.6%,57202,Oman,12,,23158,"$58,813,004,375",2.8%,$582,62,1.0%,0.4,6.8%,78,74,1.6,1,27.4%,70.1%,2.5%,2802768,75.2%,Middle East,"$1,246,000,000","$1,768,000,000",12/1/2010
1.2%,11.3%,70531,Qatar,10,,28973,"$125,122,302,747",2.1%,"$1,496",36,0.8%,0.7,7.3%,79,77,1.3,1,13.7%,85.2%,1.1%,1749713,98.7%,Middle East,,,12/1/2010
2.1%,14.5%,464481,Saudi Arabia,21,,192004,"$526,811,466,667",4.0%,$663,79,1.5%,0.4,,77,73,1.9,1,30.7%,66.3%,3.0%,27258387,82.1%,Middle East,"$7,536,000,000","$22,076,000,000",12/1/2010
2.5%,39.7%,61859,Syrian Arab Republic,13,,21649,,3.4%,$97,336,1.3%,0.2,9.9%,78,72,0.5,1,35.7%,60.5%,3.7%,21532647,55.7%,Middle East,"$6,308,000,000","$1,598,000,000",12/1/2010
1.6%,14.1%,167597,United Arab Emirates,15,,63099,"$287,421,818,966",3.2%,"$1,283",12,0.8%,0.7,,78,76,1.3,1,13.9%,85.8%,0.3%,8441537,84.1%,Middle East,"$8,577,000,000","$11,818,000,000",12/1/2010
3.2%,47.8%,21852,"Yemen, Rep.",12,,8360,"$31,743,751,169",5.1%,$66,248,4.6%,0.1,23.8%,64,61,0.5,1,42.0%,55.3%,2.7%,22763008,31.7%,Middle East,"$1,161,000,000","$252,000,000",12/1/2010
1.9%,,,American Samoa,,,,,,,,,,,,,,1,,,,55636,87.6%,Oceania,,,12/1/2010
1.4%,47.5%,373081,Australia,3,,122512,"$1,141,793,593,834",8.9%,"$5,138",109,0.4%,0.8,7.3%,84,80,1.0,1,18.9%,67.6%,13.4%,22031800,88.7%,Oceania,"$32,336,000,000","$27,534,000,000",12/1/2010
2.2%,39.3%,1291,Fiji,46,,,"$3,225,095,136",4.2%,$154,163,2.0%,0.2,7.5%,72,66,0.8,1,29.0%,66.1%,4.8%,860559,51.8%,Oceania,"$809,000,000","$100,000,000",12/1/2010
1.7%,,884,French Polynesia,,,,,,,,,0.5,,78,73,0.8,1,23.8%,69.5%,6.8%,268065,56.5%,Oceania,"$405,000,000","$160,000,000",12/1/2010
1.8%,,,Guam,,,,,,,,,0.5,,81,75,,1,27.5%,65.2%,7.3%,159440,94.1%,Oceania,,,12/1/2010
2.3%,31.8%,62,Kiribati,31,,,"$150,431,114",11.2%,$162,120,4.8%,0.1,,71,65,0.1,1,33.6%,62.6%,3.9%,97743,43.8%,Oceania,,,12/1/2010
,64.8%,103,Marshall Islands,17,,,"$163,200,000",16.0%,$542,128,3.2%,0.1,,,,,1,,,,52428,71.3%,Oceania,"$3,300,000",,12/1/2010
2.4%,58.7%,103,"Micronesia, Fed. Sts.",16,,,"$294,117,230",13.8%,$393,128,3.3%,0.2,15.1%,69,68,0.3,1,36.9%,59.3%,3.8%,103619,22.3%,Oceania,"$29,000,000","$8,000,000",12/1/2010
1.7%,,3920,New Caledonia,,,,,,,,,0.4,,79,73,0.9,1,23.5%,67.0%,9.5%,250000,67.3%,Oceania,"$129,000,000","$179,000,000",12/1/2010
1.5%,34.7%,31551,New Zealand,1,,18287,"$143,466,535,135",10.2%,"$3,260",172,0.5%,0.8,6.3%,83,79,1.1,1,20.5%,66.5%,13.0%,4367800,86.2%,Oceania,"$4,904,000,000","$3,037,000,000",12/1/2010
3.0%,42.1%,3135,Papua New Guinea,51,,,"$9,480,047,959",4.1%,$57,194,5.1%,0.0,10.4%,64,60,0.3,1,39.1%,58.2%,2.8%,6858945,13.0%,Oceania,"$2,500,000","$138,000,000",12/1/2010
2.8%,18.9%,161,Samoa,9,,,"$572,971,727",6.4%,$201,224,1.6%,0.1,10.7%,76,69,,1,38.3%,56.7%,5.1%,186029,20.1%,Oceania,"$124,000,000","$25,200,000",12/1/2010
3.3%,26.2%,202,Solomon Islands,56,,,"$681,587,105",7.4%,$95,80,2.7%,0.1,14.4%,68,66,0.2,1,40.8%,56.0%,3.3%,526447,20.0%,Oceania,"$65,400,000","$51,200,000",12/1/2010
2.7%,25.4%,158,Tonga,25,,,"$369,212,477",4.8%,$172,164,1.2%,0.2,11.5%,75,69,0.5,1,37.5%,56.7%,5.9%,104098,23.4%,Oceania,,,12/1/2010
2.7%,8.4%,117,Vanuatu,47,,,"$700,804,286",4.7%,$139,120,1.6%,0.1,5.5%,73,69,0.7,1,38.2%,57.9%,3.9%,236299,24.6%,Oceania,"$242,000,000","$33,000,000",12/1/2010
1.7%,41.0%,513,Antigua and Barbuda,21,,,"$1,135,555,556",5.7%,$736,207,0.9%,0.5,11.0%,78,73,1.9,1,26.2%,66.5%,7.2%,87233,26.2%,The Americas,"$298,000,000","$52,000,000",12/1/2010
1.7%,107.6%,180512,Argentina,25,,78162,"$462,703,793,707",8.2%,$751,453,1.3%,0.5,10.6%,79,72,1.4,1,24.9%,64.5%,10.6%,40374224,91.0%,The Americas,"$5,629,000,000","$6,375,000,000",12/1/2010
1.1%,,2321,Aruba,,,,"$2,467,703,911",,,,,0.6,10.7%,77,73,1.3,1,20.8%,68.9%,10.3%,101597,43.1%,The Americas,"$1,256,000,000","$264,000,000",12/1/2010
1.6%,44.9%,2464,"Bahamas, The",24,,,"$7,888,087,000",7.4%,"$1,626",58,1.1%,0.4,5.5%,78,72,1.2,1,22.5%,70.6%,7.0%,360498,82.5%,The Americas,"$2,159,000,000","$369,000,000",12/1/2010
1.3%,,1503,Barbados,,,,"$4,433,700,000",6.7%,$978,,1.4%,0.7,8.7%,77,72,1.2,1,19.3%,70.3%,10.4%,280396,32.1%,The Americas,"$1,074,000,000","$351,000,000",12/1/2010
2.4%,33.2%,422,Belize,44,,,"$1,398,500,000",5.8%,$265,147,1.6%,0.1,13.9%,76,70,0.6,1,35.5%,60.6%,3.9%,308595,45.0%,The Americas,"$264,000,000","$39,000,000",12/1/2010
1.2%,,477,Bermuda,,,,"$5,744,414,000",,,,,0.8,,82,77,1.4,1,,,,65124,100.0%,The Americas,"$442,000,000","$417,000,000",12/1/2010
2.6%,80.0%,15456,Bolivia,49,,7341,"$19,649,631,308",5.5%,$106,1080,3.5%,0.2,9.9%,69,64,0.7,1,36.0%,59.3%,4.7%,10156601,66.4%,The Americas,"$339,000,000","$421,000,000",12/1/2010
1.6%,66.3%,419754,Brazil,119,,265887,"$2,143,067,871,760",9.0%,$989,2600,1.5%,0.4,40.0%,77,70,1.0,1,25.5%,67.6%,6.9%,195210154,84.3%,The Americas,"$6,180,000,000","$19,340,000,000",12/1/2010
1.1%,27.7%,499137,Canada,5,,250992,"$1,614,072,093,764",11.4%,"$5,273",131,0.5%,0.8,2.6%,83,79,0.8,1,16.5%,69.4%,14.2%,34005274,80.9%,The Americas,"$18,438,000,000","$36,975,000,000",12/1/2010
1.5%,,590,Cayman Islands,,,,,,,,,0.7,,,,1.8,1,,,,55509,100.0%,The Americas,"$465,000,000","$129,000,000",12/1/2010
1.4%,24.5%,72258,Chile,22,,30920,"$217,501,911,334",7.1%,$894,316,0.8%,0.5,4.8%,82,76,1.2,1,22.1%,68.7%,9.2%,17150760,88.6%,The Americas,"$2,422,000,000","$1,808,000,000",12/1/2010
2.0%,80.3%,75680,Colombia,14,,32235,"$287,018,184,638",6.8%,$418,208,1.6%,0.4,9.4%,77,70,1.0,1,28.8%,65.6%,5.6%,46444798,75.0%,The Americas,"$2,727,000,000","$2,373,000,000",12/1/2010
1.6%,55.3%,7770,Costa Rica,60,,4646,"$36,298,327,670",9.7%,$750,272,0.9%,0.4,17.1%,82,77,0.7,1,24.9%,68.6%,6.5%,4669685,71.7%,The Americas,"$2,179,000,000","$533,000,000",12/1/2010
1.0%,,38364,Cuba,,,11308,"$64,328,220,000",10.6%,$583,,0.5%,0.2,,81,77,0.1,1,17.3%,70.2%,12.4%,11281768,76.6%,The Americas,"$2,218,000,000",,12/1/2010
1.4%,,,Curacao,,,,,,,,,,,,,1.4,1,19.8%,67.0%,13.2%,149311,89.9%,The Americas,"$438,000,000","$282,000,000",12/1/2010
1.3%,37.0%,136,Dominica,13,,,"$475,185,185",6.0%,$400,117,1.1%,0.5,9.5%,,,1.5,1,,,,71167,68.1%,The Americas,"$95,000,000","$13,000,000",12/1/2010
2.2%,40.1%,20964,Dominican Republic,19,,7178,"$50,980,167,048",5.5%,$278,324,2.6%,0.3,12.1%,76,70,0.9,1,31.2%,62.8%,6.0%,10016797,73.8%,The Americas,"$4,209,000,000","$554,000,000",12/1/2010
2.2%,35.3%,32636,Ecuador,56,,12428,"$67,513,698,000",7.2%,$335,654,2.1%,0.3,,79,73,1.0,1,31.0%,62.9%,6.2%,15001072,62.7%,The Americas,"$786,000,000","$863,000,000",12/1/2010
2.0%,34.8%,6249,El Salvador,17,,4210,"$21,418,300,000",6.9%,$238,320,1.5%,0.2,,76,67,1.2,1,32.1%,61.0%,6.9%,6218195,64.3%,The Americas,"$646,000,000","$280,000,000",12/1/2010
1.5%,,634,Greenland,,,,,,,,,0.6,,73,69,1.0,1,,,,56905,84.4%,The Americas,,,12/1/2010
1.9%,45.3%,260,Grenada,15,,,"$771,111,097",6.0%,$438,140,1.2%,0.3,10.6%,75,70,1.2,1,27.5%,65.2%,7.2%,104677,35.7%,The Americas,"$112,000,000","$10,000,000",12/1/2010
3.2%,40.9%,11118,Guatemala,37,,10251,"$41,338,007,893",6.9%,$198,344,2.8%,0.1,13.3%,75,68,1.3,1,41.5%,54.1%,4.4%,14341576,49.3%,The Americas,"$1,379,000,000","$1,002,000,000",12/1/2010
2.2%,38.8%,1701,Guyana,24,,,"$2,259,288,396",6.6%,$188,288,3.2%,0.3,14.5%,68,63,0.7,1,37.6%,59.2%,3.3%,786126,28.2%,The Americas,"$80,000,000","$73,000,000",12/1/2010
2.7%,40.4%,2120,Haiti,105,,2409,"$6,622,541,529",6.7%,$45,184,7.3%,0.1,17.5%,64,60,0.4,1,36.2%,59.4%,4.5%,9896400,52.0%,The Americas,"$169,000,000","$431,000,000",12/1/2010
2.7%,44.1%,8108,Honduras,14,,4567,"$15,839,344,592",8.7%,$176,224,2.1%,0.1,18.9%,75,70,1.2,1,36.8%,58.9%,4.3%,7621204,51.7%,The Americas,"$627,000,000","$406,000,000",12/1/2010
1.5%,48.7%,7158,Jamaica,8,,2830,"$13,230,844,040",5.3%,$255,414,1.6%,0.3,20.5%,76,70,1.2,1,29.0%,63.1%,7.8%,2690824,53.7%,The Americas,"$2,095,000,000","$235,000,000",12/1/2010
2.0%,50.5%,443674,Mexico,7,,178924,"$1,051,627,949,327",6.3%,$603,404,1.4%,0.3,5.3%,79,74,0.8,1,30.0%,64.0%,6.0%,117886404,77.8%,The Americas,"$12,628,000,000","$9,001,000,000",12/1/2010
2.4%,63.2%,4547,Nicaragua,39,,2951,"$8,938,210,560",7.6%,$112,222,2.2%,0.1,13.3%,77,71,0.7,1,34.5%,60.9%,4.6%,5822209,57.3%,The Americas,"$309,000,000","$329,000,000",12/1/2010
2.0%,43.8%,9633,Panama,9,,3710,"$28,814,100,000",8.5%,$627,482,1.7%,0.4,7.7%,80,74,1.8,1,29.3%,63.9%,6.8%,3678128,65.1%,The Americas,"$2,552,000,000","$575,000,000",12/1/2010
2.4%,35.0%,5075,Paraguay,35,,4789,"$20,030,529,733",8.7%,$271,311,2.1%,0.2,26.0%,74,70,0.9,1,33.5%,61.3%,5.2%,6459721,58.5%,The Americas,"$243,000,000","$269,000,000",12/1/2010
2.1%,37.1%,57579,Peru,26,,19207,"$148,509,857,547",4.9%,$257,380,1.5%,0.3,19.0%,77,71,1.0,1,30.0%,64.0%,6.0%,29262830,76.9%,The Americas,"$2,475,000,000","$1,640,000,000",12/1/2010
1.1%,63.6%,,Puerto Rico,7,,,"$98,381,268,000",,,218,,0.5,,82,74,0.8,1,20.5%,66.5%,13.0%,3721208,93.8%,The Americas,"$3,211,000,000","$1,180,000,000",12/1/2010
,,,Sint Maarten (Dutch part),,,,,,,,,,,,,,1,,,,37850,100.0%,The Americas,"$681,000,000","$105,000,000",12/1/2010
,52.5%,249,St. Kitts and Nevis,19,,,"$692,222,222",5.4%,$739,155,0.9%,0.8,8.6%,,,1.5,1,,,,52352,31.8%,The Americas,"$90,000,000","$13,000,000",12/1/2010
1.6%,34.0%,403,St. Lucia,14,,,"$1,252,222,222",7.8%,$525,92,1.4%,0.4,10.6%,77,72,1.1,1,25.3%,66.3%,8.5%,177397,18.5%,The Americas,"$309,000,000","$48,000,000",12/1/2010
1.7%,,,St. Martin (French part),,,,,,,,,,,82,76,,1,,,,30235,,The Americas,,,12/1/2010
1.7%,38.7%,209,St. Vincent and the Grenadines,10,,,"$681,481,481",4.7%,$293,111,1.9%,0.4,9.2%,74,70,1.2,1,26.5%,66.8%,6.7%,109316,48.8%,The Americas,"$86,000,000","$15,000,000",12/1/2010
1.8%,27.9%,2384,Suriname,694,,,"$4,368,033,802",5.8%,$483,199,2.2%,0.3,11.6%,74,67,1.0,1,28.6%,64.9%,6.4%,524960,66.3%,The Americas,"$69,000,000","$41,000,000",12/1/2010
1.5%,33.1%,50682,Trinidad and Tobago,41,,21370,"$20,758,191,858",5.2%,$805,210,2.1%,0.5,9.3%,73,66,1.4,1,20.7%,71.0%,8.3%,1328095,9.1%,The Americas,"$630,000,000","$97,000,000",12/1/2010
,,161,Turks and Caicos Islands,,,,,,,,,,,,,,1,,,,30993,90.2%,The Americas,,,12/1/2010
1.3%,46.5%,5433057,United States,5,,2215504,"$14,958,300,000,000",17.7%,"$8,254",187,0.6%,0.7,3.3%,81,76,0.9,1,19.8%,67.1%,13.1%,309326295,80.8%,The Americas,"$164,606,000,000","$110,313,000,000",12/1/2010
1.5%,41.9%,6645,Uruguay,65,,4174,"$38,881,102,075",8.7%,$998,336,1.1%,0.5,10.3%,80,73,1.3,1,22.5%,63.6%,13.9%,3371982,94.4%,The Americas,"$1,669,000,000","$549,000,000",12/1/2010
2.1%,51.9%,201747,"Venezuela, RB",141,,75502,"$393,801,556,872",4.7%,$639,864,1.4%,0.4,18.3%,77,71,1.0,1,29.5%,64.9%,5.6%,29043283,88.8%,The Americas,"$794,000,000","$2,238,000,000",12/1/2010
